gearbox	title	refcode	description	model	year	run	phone	wheel_drive	price
Manual	CITROEN AX Jive	DIY1190431	Owned since Jan 14, one previous owner from new, regularly maintained & serviced, wax loaded unde...	Jive	1993 	35,457		RHD	3,500
Manual	ROVER MINI	DIY1189982	One previous owner before myself, grey seats, solid floor & bodywork, no rot, recent respray, may...		1991 	24,000		RHD	6,000
Automatic	JAGUAR XK 4.2	TA1190401	2006 Jaguar XK 4.2 Auto Light Metallic Blue with Black Leather Keyless Go with Start Button ,2 Ke...	4.2	2006 	112,000		RHD	7,500
Manual	LAMBORGHINI ESPADA Series 2	TA1186027	1970 Lamborghini Espada Series 2	Series 2	1970 	57,585		RHD	113,950
N/A	BENZ MOTORWAGEN	TA1191072	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...		1886 	0		RHD	Auction
N/A	FERRARI 365 GT4 BB	TA1191071	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Monaco event, 9 May 2020. Check back soo...	GT4 BB	1974 	0		RHD	Auction
N/A	BMW ISETTA 300	TA1191070	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	300	1958 	0		RHD	Auction
N/A	DELOREAN DMC-12	TA1191069	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...		1982 	0		RHD	Auction
N/A	FORD RANCH WAGON WITH TRAILER	TA1191068	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...	WITH TRAILER	1954 	0		RHD	Auction
N/A	JAGUAR C-TYPE REPLICA	TA1191064	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	REPLICA	1953 	0		RHD	Auction
N/A	MERCEDES-BENZ 300 D ADENAUER	TA1191063	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	D ADENAUER	1952 	0		RHD	Auction
N/A	MATRA DJET V	TA1190478	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Offered...	V	1965 	0		LHD	Auction
N/A	MARCOS MINI MK 1V	TA1190477	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. Sold as...	MK 1V	1969 	0		LHD	Auction
N/A	CHRYSLER TOWN & COUNTRY	TA1190476	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...		1949 	0		LHD	Auction
N/A	ALFA ROMEO GIULIETTA	TA1190471	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Essen event, 26 - 27 March 2020. A tribu...		1962 	0		LHD	Auction
N/A	LOTUS ELAN S4 BROADSPEED ROADSTER	TA1190069	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...	S4 BROADSPEED ROADSTER	1972 	0		RHD	Auction
N/A	CROSLEY CD FOUR	TA1190068	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...	FOUR	1948 	0		LHD	Auction
N/A	JENSEN INTERCEPTOR	TA1190060	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1972 	0		LHD	Auction
N/A	PONTIAC FIREBIRD	TA1190058	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1968 	0		LHD	Auction
N/A	PLYMOUTH DE LUXE	TA1190057	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' The Elkhart Collection event, 1 - 2 May ...		1948 	0		LHD	Auction
Manual	RENAULT 5	DIY1153400	Immaculate condition ,starts and drives fine, excellent interior, brand new tyres, underneath sea...		1994 	62,500		RHD	3,000
Automatic	HONDA PRELUDE	DIY1154176	Excellent mechanically with extensive service history, all paper work, mature lady owner from new...		1998 	114,450		RHD	3,500
N/A	MERCEDES-BENZ 560 SEC AMG	TA1189977	To Be OFFERED AT AUCTION at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Check back soon fo...	SEC AMG	1990 	0		LHD	Auction
N/A	MERCEDES-BENZ SL-CLASS	TA1189976	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...		2004 	0		LHD	Auction
N/A	PONTIAC GTO	TA1189969	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...		1970 	0		LHD	Auction
N/A	FORD MODEL A STATION WAGON	TA1189968	To Be OFFERED AT AUCTION WITHOUT RESERVE at RM Sothebys' Palm Beach event, 20 - 21 March 2020. Ch...	STATION WAGON	1929 	0		LHD	Auction
